"Journal","N_SI","flaggedSI"
"algorithms180824_2023_2024.csv",62,4
"animals_180824_2023_2024.csv",316,47
"antibiotics190824_2023_2024.csv",225,50
"antioxidants180824_2023_2024.csv",215,19
"applsci180824_2023_2024.csv",1036,153
"batteries290824_2023_2024.csv",55,10
"behavsci180824_2023_2024.csv",65,14
"biomedicines180824_2023_2024.csv",391,50
"biomolecules180824_2023_2024.csv",182,37
"brainsci_170824_2023_2024.csv",148,23
"cancers180824_2023_2024.csv",582,102
"cells180824_2023_2024.csv",308,56
"diagnostics180824_2023_2024.csv",391,39
"electronics190824_2023_2024.csv",436,57
"entropy190824_2023_2024.csv",174,21
"foods180824_2023_2024.csv",494,99
"healthcare180824_2023_2024.csv",229,41
"ijms190824_2023_2024.csv",2190,299
"jcm180824_2023_2024.csv",761,65
"molecules180824_2023_2024.csv",924,131
"nanomaterials180824_2023_2024.csv",381,83
"nutrients180824_2023_2024.csv",528,118
"pathogens180824_2023_2024.csv",179,33
"pharmaceutics180824_2023_2024.csv",334,44
"sensors190824_2023_2024.csv",939,147
"symmetry170824_2023_2024.csv",228,17
"vaccines180824_2023_2024.csv",168,18
"viruses180824_2023_2024.csv",262,27
